Node Number	Equivalent (von-Mises) Stress (MPa)
1039	1.4517
1040	1.428
1041	1.5765
1042	1.5288
1043	1.747
1044	1.7057
1045	1.9044
1046	1.8524
1047	2.1228
1048	1.992
1049	2.4166
1050	2.2372
1051	2.6999
1052	2.5259
1053	2.9738
1054	2.8253
1055	3.3401
1056	3.167
1057	3.6965
1058	4.042
1059	3.8841
1060	4.3997
1061	4.2424
1062	4.6655
1063	4.7629
1064	4.5829
1065	4.7167
1066	3.9792
1067	4.3466
1068	2.9101
1069	3.4999
1070	1.8941
1071	2.3176
1072	2.0791
1073	1.7741
1074	1.9845
1075	1.7149
1076	1.3098
1077	1.8643
1078	1.5323
1079	2.7624
1080	3.687
1081	3.2286
1082	4.5494
1083	5.3387
1084	4.9492
1085	6.0724
1086	6.8054
1087	6.4537
1088	7.4734
1089	8.1008
1090	8.7088
1091	9.303
1092	9.009
1093	9.9026
1094	9.5998
1095	10.462
1096	11.014
1097	11.517
1098	11.274
1099	11.941
1100	12.482
1101	13.048
1102	12.769
1103	13.551
1104	14.397
1105	14.226
1106	14.81
1107	14.602
1108	15.27
1109	15.063
1110	15.62
1111	15.941
1112	15.785
1113	16.246
1114	16.557
1115	16.403
1116	17.023
1117	16.756
1118	17.412
1119	17.625
1120	17.53
1121	17.742
1122	17.771
1123	17.724
1124	17.771
1125	17.599
1126	17.388
1127	17.076
1128	17.265
1129	16.766
1130	16.962
1131	16.385
1132	16.6
1133	15.949
1134	16.221
1135	15.415
1136	15.759
1137	14.796
1138	15.194
1139	14.143
1140	14.516
1141	13.665
1142	13.973
1143	13.068
1144	13.369
1145	12.46
1146	12.777
1147	11.911
1148	12.23
1149	11.405
1150	11.679
1151	11.041
1152	11.236
1153	10.783
1154	10.66
1155	10.698
1156	10.687
1157	10.702
1158	10.333
1159	8.3624
1160	9.6843
1161	4.2426
1162	6.2992
1163	2.6302
1164	6.8925
1165	4.4601
1166	9.3306
1167	9.8422
1168	9.9615
1169	10.14
1170	9.9986
1171	10.508
1172	11.023
1173	10.737
1174	11.633
1175	12.304
1176	11.975
1177	12.982
1178	13.728
1179	13.379
1180	14.437
1181	14.106
1182	15.103
1183	14.8
1184	15.73
1185	15.448
1186	16.319
1187	16.051
1188	16.866
1189	16.622
1190	17.367
1191	17.142
1192	17.803
1193	17.636
1194	18.201
1195	18.025
1196	18.535
1197	18.382
1198	18.822
1199	18.698
1200	19.067
1201	18.96
1202	19.27
1203	19.183
1204	19.453
1205	19.375
1206	19.593
1207	19.538
1208	19.704
1209	19.662
1210	19.787
1211	19.757
1212	19.851
1213	19.828
1214	19.886
1215	19.882
1216	19.909
1217	19.906
1218	19.923
1219	19.924
1220	19.91
1221	19.923
1222	19.9
1223	19.911
1224	19.878
1225	19.894
1226	19.852
1227	19.868
1228	19.818
1229	19.838
1230	19.781
1231	19.801
1232	19.741
1233	19.763
1234	19.702
1235	19.724
1236	19.663
1237	19.684
1238	19.624
1239	19.646
1240	19.587
1241	19.548
1242	19.57
1243	19.516
1244	19.533
1245	19.482
1246	19.5
1247	19.452
1248	19.468
1249	19.424
1250	19.44
1251	19.401
1252	19.414
1253	19.376
1254	19.39
1255	19.354
1256	19.367
1257	19.337
1258	19.347
1259	19.322
1260	19.321
1261	19.309
1262	19.294
1263	19.303
1264	19.288
1265	19.281
1266	19.273
1267	19.268
1268	19.264
1269	19.263
1270	19.263
1271	19.263
1272	19.267
1273	19.266
1274	19.264
1275	19.267
1276	19.269
1277	19.271
1278	19.27
1279	19.271
1280	19.273
1281	19.273
1282	19.275
1283	19.274
1284	19.277
1285	19.28
1286	19.28
1287	19.279
1288	19.285
1289	19.285
1290	19.285
1291	19.289
1292	19.29
1293	19.289
1294	19.292
1295	19.29
1296	19.292
1297	19.288
1298	19.292
1299	19.289
1300	19.293
1301	19.287
1302	19.292
1303	19.286
1304	19.292
1305	19.281
1306	19.287
1307	19.276
1308	19.283
1309	19.268
1310	19.277
1311	19.265
1312	19.27
1313	19.26
1314	19.265
1315	19.26
1316	19.26
1317	19.264
1318	19.267
1319	19.277
1320	1.5589
1321	0.79525
1322	0.6682
1323	0.61806
1324	0.49189
1325	0.46931
1326	0.45183
1327	0.44437
1328	0.43023
